,date,low,high,last,weighted_avg,id_full,id1,id3,buy_volume,sell_volume,total_volume,Unnamed: 7
0,2024-09-03 00:00:00,0.0,110.97,80.0,100.37,100.37,96.76,101.06,5410.0,5716.8,5563.4,
1,2024-09-03 01:00:00,96.22,125.0,116.01,102.65,102.65,103.65,101.53,6111.3,6379.8,6245.6,
2,2024-09-03 02:00:00,91.52,148.99,135.76,103.73,103.73,109.54,102.85,6128.3,6234.2,6181.3,
3,2024-09-03 03:00:00,87.02,123.21,104.2,101.69,101.69,103.3,102.01,5590.6,5197.5,5394.1,
4,2024-09-03 04:00:00,78.96,113.03,91.0,101.48,101.48,102.09,102.61,5112.3,5097.0,5104.7,
5,2024-09-03 05:00:00,77.11,124.93,85.0,109.05,109.05,105.18,109.36,5238.8,4808.7,5023.8,
6,2024-09-03 06:00:00,93.16,262.2,159.0,159.45,159.45,146.23,153.05,5285.2,5415.3,5350.3,
7,2024-09-03 07:00:00,-200.0,299.48,175.0,183.06,183.06,206.51,181.08,6970.9,7754.7,7362.8,
8,2024-09-03 08:00:00,-866.05,832.5,300.0,204.9,204.9,338.8,221.26,8157.4,8051.8,8104.6,
9,2024-09-03 09:00:00,12.01,133.5,81.0,115.22,115.22,102.48,114.86,7549.2,7600.8,7575.0,
10,2024-09-03 10:00:00,-50.0,129.0,102.15,102.59,102.59,100.9,103.37,9457.7,9057.5,9257.6,
11,2024-09-03 11:00:00,-21.47,106.0,90.0,95.9,95.9,94.98,94.64,8090.9,8766.9,8428.9,
12,2024-09-03 12:00:00,-164.99,122.0,83.0,91.06,91.06,86.03,91.2,6442.9,8310.3,7376.6,
13,2024-09-03 13:00:00,74.63,299.88,90.0,89.94,89.94,92.06,90.63,6248.1,8697.6,7472.9,
14,2024-09-03 14:00:00,-154.88,335.03,80.6,91.39,91.39,92.27,91.56,6218.1,8747.3,7482.7,
15,2024-09-03 15:00:00,44.0,101.92,90.0,94.63,94.63,88.67,94.66,6235.2,8714.1,7474.7,
