,date,low,high,last,weighted_avg,id_full,id1,id3,buy_volume,sell_volume,total_volume,Unnamed: 7
16,2024-09-03 16:00:00,-49.9,116.2,-49.9,100.15,100.15,89.03,97.94,6558.0,7626.7,7092.4,
17,2024-09-03 17:00:00,-387.8,194.57,100.0,134.62,134.62,110.93,124.33,6816.2,8279.4,7547.8,
18,2024-09-03 18:00:00,125.01,449.86,151.0,271.94,271.94,165.75,206.22,8420.5,9251.5,8836.0,
19,2024-09-03 19:00:00,-49.8,1107.99,-49.8,502.26,502.26,190.93,316.19,9633.8,10414.2,10024.0,
20,2024-09-03 20:00:00,105.0,1030.19,144.0,372.83,372.83,128.82,201.79,9312.3,10443.9,9878.1,
21,2024-09-03 21:00:00,1.01,377.99,130.93,177.77,177.77,134.84,134.57,6382.2,7133.4,6757.8,
22,2024-09-03 22:00:00,-49.8,164.06,-49.8,129.51,129.51,117.37,120.52,5507.0,5673.9,5590.5,
23,2024-09-03 23:00:00,-146.87,134.0,98.14,107.22,107.22,98.56,101.09,3873.9,4646.8,4260.4,
0,2024-09-04 00:00:00,82.51,119.58,82.61,96.64,96.64,92.47,95.01,2920.9,2726.1,2823.5,
1,2024-09-04 01:00:00,52.01,109.07,61.13,93.76,93.76,95.67,93.12,3439.0,3170.4,3304.7,
2,2024-09-04 02:00:00,-142.49,104.01,94.9,92.68,92.68,89.47,92.02,3638.1,3943.4,3790.8,
3,2024-09-04 03:00:00,0.11,101.98,0.11,91.06,91.06,86.6,89.39,3026.1,3546.6,3286.4,
4,2024-09-04 04:00:00,0.01,117.47,95.0,91.38,91.38,84.9,89.2,2969.1,3543.9,3256.5,
5,2024-09-04 05:00:00,37.43,245.18,37.43,102.74,102.74,104.02,99.62,3070.1,3368.1,3219.1,
6,2024-09-04 06:00:00,81.39,156.11,104.0,124.89,124.89,113.03,119.57,3724.7,3993.2,3859.0,
7,2024-09-04 07:00:00,-49.89,185.0,120.0,139.0,139.0,119.28,128.85,3650.5,4492.0,4071.3,
8,2024-09-04 08:00:00,80.0,162.5,99.97,118.35,118.35,103.89,115.9,5738.6,6553.0,6145.8,
9,2024-09-04 09:00:00,94.16,174.88,125.01,110.16,110.16,109.75,106.03,6898.6,8949.1,7923.9,
10,2024-09-04 10:00:00,-49.9,298.72,-49.9,98.78,98.78,106.23,97.24,8488.4,9733.3,9110.9,
11,2024-09-04 11:00:00,-49.99,299.87,-49.99,90.97,90.97,87.09,89.65,9729.5,10265.0,9997.3,
12,2024-09-04 12:00:00,-50.0,99.93,-49.79,86.97,86.97,82.27,86.72,11969.3,12402.7,12186.0,
13,2024-09-04 13:00:00,20.11,100.0,85.38,85.68,85.68,82.91,85.81,10922.7,11902.5,11412.6,
14,2024-09-04 14:00:00,50.03,91.96,79.0,83.71,83.71,76.58,82.22,10662.0,11241.5,10951.8,
15,2024-09-04 15:00:00,74.17,138.93,90.0,86.01,86.01,81.6,82.22,10692.9,11349.5,11021.2,
16,2024-09-04 16:00:00,79.24,132.89,88.0,90.2,90.2,89.36,87.5,8208.4,8638.6,8423.5,
17,2024-09-04 17:00:00,56.11,149.89,56.11,109.01,109.01,110.31,107.93,7632.1,7295.9,7464.0,
18,2024-09-04 18:00:00,55.01,179.95,80.58,131.14,131.14,114.75,133.32,7485.0,6546.9,7016.0,
19,2024-09-04 19:00:00,-119.86,334.79,104.19,178.11,178.11,113.74,149.27,8010.3,8412.0,8211.2,
20,2024-09-04 20:00:00,69.71,210.0,100.0,124.76,124.76,100.52,110.99,7346.8,7878.9,7612.9,
21,2024-09-04 21:00:00,77.01,142.42,125.0,105.01,105.01,100.61,98.83,6914.4,6809.9,6862.2,
22,2024-09-04 22:00:00,-49.88,280.0,110.0,101.59,101.59,100.45,102.39,8355.7,6825.6,7590.7,
23,2024-09-04 23:00:00,-150.57,135.87,95.11,97.11,97.11,100.33,98.65,6610.1,4972.6,5791.4,
0,2024-09-05 00:00:00,91.4,141.46,115.0,100.72,100.72,101.77,100.79,4409.6,4887.7,4648.7,
1,2024-09-05 01:00:00,44.2,122.28,94.5,97.35,97.35,98.8,96.84,5351.2,5165.1,5258.2,
2,2024-09-05 02:00:00,0.01,99.58,74.5,89.72,89.72,82.64,87.61,5721.4,5218.4,5469.9,
3,2024-09-05 03:00:00,71.6,98.0,92.0,85.88,85.88,78.13,82.56,5895.8,5591.7,5743.8,
4,2024-09-05 04:00:00,64.77,112.1,99.47,85.48,85.48,88.26,84.09,6219.3,5654.8,5937.1,
5,2024-09-05 05:00:00,-100.69,99.87,-100.69,87.37,87.37,81.78,85.94,6958.1,6423.7,6690.9,
6,2024-09-05 06:00:00,-49.99,120.83,-49.99,107.1,107.1,101.6,104.14,9104.3,8249.8,8677.1,
7,2024-09-05 07:00:00,69.39,121.88,85.76,104.25,104.25,83.92,96.66,9335.4,8395.3,8865.4,
8,2024-09-05 08:00:00,72.01,127.47,102.0,97.62,97.62,81.36,84.35,11625.5,9390.6,10508.1,
9,2024-09-05 09:00:00,-50.0,103.79,81.0,83.24,83.24,91.69,79.55,13183.2,10553.4,11868.3,
10,2024-09-05 10:00:00,-30.0,77.0,49.94,38.26,38.26,11.19,30.82,11123.1,8994.5,10058.8,
11,2024-09-05 11:00:00,-49.79,18.8,9.84,-2.65,-2.65,-4.54,-4.67,8789.6,7535.3,8162.5,
12,2024-09-05 12:00:00,-18.39,36.96,-0.26,-6.12,-6.12,-1.67,-7.11,8830.8,8373.8,8602.3,
13,2024-09-05 13:00:00,-61.78,216.28,-6.5,-11.2,-11.2,-5.03,-9.71,8536.5,7209.6,7873.1,
14,2024-09-05 14:00:00,-29.6,199.88,-13.0,-11.57,-11.57,-8.13,-7.05,9010.8,7613.8,8312.3,
15,2024-09-05 15:00:00,-50.0,2.91,-10.0,-7.23,-7.23,-15.94,-7.93,8384.7,7157.0,7770.9,
16,2024-09-05 16:00:00,-19.0,13.04,3.0,0.98,0.98,-5.28,-2.05,7224.9,6859.7,7042.3,
17,2024-09-05 17:00:00,30.89,2000.0,1555.0,133.98,133.98,93.11,72.01,12598.1,10640.9,11619.5,
18,2024-09-05 18:00:00,74.52,1000.0,400.0,140.54,140.54,145.24,130.94,15609.4,12793.4,14201.4,
19,2024-09-05 19:00:00,69.57,349.99,102.0,148.43,148.43,228.86,166.34,17839.1,14681.7,16260.4,
20,2024-09-05 20:00:00,10.0,206.62,59.9,127.33,127.33,157.15,141.04,16969.2,13276.2,15122.7,
21,2024-09-05 21:00:00,-146.07,259.72,95.0,107.44,107.44,95.63,114.59,14106.3,10800.8,12453.6,
22,2024-09-05 22:00:00,-157.3,116.47,83.28,96.66,96.66,100.67,104.39,11093.9,8645.3,9869.6,
23,2024-09-05 23:00:00,48.09,591.55,112.09,87.28,87.28,96.32,88.48,8242.5,6551.4,7397.0,
0,2024-09-06 00:00:00,2.07,153.14,83.9,81.61,81.61,74.51,81.86,7965.7,7254.2,7610.0,
1,2024-09-06 01:00:00,-39.73,209.8,86.29,81.63,81.63,85.65,82.02,7621.0,7204.0,7412.5,
2,2024-09-06 02:00:00,33.62,88.0,75.0,78.36,78.36,77.88,79.72,6798.7,6063.4,6431.1,
3,2024-09-06 03:00:00,17.87,395.0,71.01,71.69,71.69,63.91,71.85,6910.7,6047.9,6479.3,
4,2024-09-06 04:00:00,-32.46,281.53,85.73,76.41,76.41,77.04,72.64,6864.5,5691.5,6278.0,
5,2024-09-06 05:00:00,31.39,299.79,86.3,80.62,80.62,75.82,76.75,7491.4,5967.3,6729.4,
6,2024-09-06 06:00:00,64.96,151.49,85.84,97.4,97.4,92.77,96.5,7936.3,6850.6,7393.5,
7,2024-09-06 07:00:00,88.72,129.78,98.69,109.72,109.72,97.03,103.12,7938.7,7342.2,7640.5,
8,2024-09-06 08:00:00,97.49,135.0,105.71,114.56,114.56,113.68,111.06,7320.4,6780.7,7050.6,
9,2024-09-06 09:00:00,1.62,109.06,86.0,98.59,98.59,88.69,98.29,8458.4,7278.1,7868.3,
10,2024-09-06 10:00:00,-50.0,118.95,102.36,83.77,83.77,77.57,80.59,8865.2,8415.4,8640.3,
11,2024-09-06 11:00:00,-50.0,158.17,0.0,79.0,79.0,78.64,76.59,8919.3,8458.5,8688.9,
12,2024-09-06 12:00:00,-143.79,130.0,105.01,73.88,73.88,94.01,78.1,11958.1,11870.0,11914.1,
13,2024-09-06 13:00:00,-50.0,156.0,125.77,69.06,69.06,82.2,74.55,13886.9,12198.6,13042.8,
14,2024-09-06 14:00:00,-120.0,132.25,102.0,66.8,66.8,86.58,76.11,13714.3,11760.2,12737.3,
15,2024-09-06 15:00:00,20.55,586.63,99.0,77.79,77.79,82.93,82.79,13310.6,12441.6,12876.1,
16,2024-09-06 16:00:00,47.01,138.7,102.62,101.5,101.5,113.38,103.88,12578.7,11712.6,12145.7,
17,2024-09-06 17:00:00,58.52,114.3,75.0,100.49,100.49,89.45,100.77,11142.2,10407.8,10775.0,
18,2024-09-06 18:00:00,84.0,149.89,85.0,125.04,125.04,113.63,127.02,10819.3,10943.0,10881.2,
19,2024-09-06 19:00:00,94.1,244.89,113.7,168.75,168.75,121.65,159.61,11241.8,11350.5,11296.2,
20,2024-09-06 20:00:00,0.18,231.83,105.85,166.53,166.53,148.51,147.01,12037.9,12253.3,12145.6,
21,2024-09-06 21:00:00,70.48,116.29,80.0,105.39,105.39,95.45,101.44,10374.7,9534.5,9954.6,
22,2024-09-06 22:00:00,-50.0,167.11,90.0,100.43,100.43,89.81,97.64,7307.1,6967.0,7137.1,
23,2024-09-06 23:00:00,8.58,105.95,80.0,97.11,97.11,96.93,97.95,5814.0,5427.6,5620.8,
0,2024-09-07 00:00:00,74.37,147.0,103.0,101.62,,,,5536.0,5179.5,5357.8,
1,2024-09-07 01:00:00,81.0,107.74,84.64,97.31,,,,5177.6,5184.5,5181.1,
2,2024-09-07 02:00:00,-14.49,100.75,80.19,90.7,,,,4482.7,4525.8,4504.3,
3,2024-09-07 03:00:00,69.15,99.0,77.0,88.08,,,,3370.7,4092.5,3731.6,
4,2024-09-07 04:00:00,-160.03,104.06,73.29,87.52,,,,4652.9,5117.4,4885.2,
5,2024-09-07 05:00:00,-41.18,103.8,70.0,87.7,,,,4493.6,4976.3,4735.0,
6,2024-09-07 06:00:00,81.53,135.99,88.88,93.13,,,,3629.0,3886.8,3757.9,
7,2024-09-07 07:00:00,-150.49,145.52,92.51,97.41,,,,3117.3,3740.2,3428.8,
8,2024-09-07 08:00:00,80.01,101.14,82.0,94.79,,,,4778.0,4241.3,4509.7,
9,2024-09-07 09:00:00,69.23,90.5,79.61,83.0,,,,5128.8,5804.9,5466.9,
10,2024-09-07 10:00:00,-175.81,96.25,73.0,61.09,,,,5678.1,6025.1,5851.6,
11,2024-09-07 11:00:00,-49.79,67.28,67.0,31.21,,,,6710.9,6270.3,6490.6,
12,2024-09-07 12:00:00,-199.79,68.7,40.0,19.64,,,,8023.4,6965.7,7494.6,
13,2024-09-07 13:00:00,-24.86,22.08,-8.0,2.15,,,,8781.6,6129.1,7455.4,
14,2024-09-07 14:00:00,-14.8,20.17,-0.97,1.99,,,,7215.0,5754.3,6484.7,
15,2024-09-07 15:00:00,3.51,28.01,10.54,14.22,,,,3485.2,3446.5,3465.9,
16,2024-09-07 16:00:00,48.45,66.96,64.12,56.93,,,,1837.2,1839.3,1838.3,
17,2024-09-07 17:00:00,95.6,107.09,105.97,101.54,,,,963.5,1857.1,1410.3,
18,2024-09-07 18:00:00,125.25,140.99,138.2,135.26,,,,1346.4,2200.3,1773.4,
19,2024-09-07 19:00:00,141.16,179.3,168.5,166.31,,,,1971.3,1827.1,1899.2,
20,2024-09-07 20:00:00,89.51,159.87,157.5,147.33,,,,1628.6,1349.5,1489.1,
21,2024-09-07 21:00:00,99.3,116.79,116.0,109.55,,,,1078.5,1241.8,1160.2,
22,2024-09-07 22:00:00,82.81,108.55,106.5,97.18,,,,1296.6,858.2,1077.4,
23,2024-09-07 23:00:00,82.76,102.19,102.19,90.26,,,,1164.8,627.7,896.3,
