date,low,high,last,weighted_avg,id_full,buy_volume,sell_volume,total_volume
2024-12-30 00:00:00,-19.35,2.63,-2.40,-10.90,-10.90,40.0,33.0,36.5
2024-12-30 01:00:00,-31.89,-4.60,-23.09,-17.05,-17.05,33.2,24.5,28.9
2024-12-30 02:00:00,-21.58,-5.00,-5.00,-11.84,-11.84,49.1,28.3,38.7
2024-12-30 03:00:00,-21.30,-1.01,-1.01,-12.82,-12.82,37.7,24.6,31.2
2024-12-30 04:00:00,-35.26,-1.92,-3.84,-12.30,-12.30,52.1,34.9,43.5
2024-12-30 05:00:00,-12.10,1.97,0.10,-5.28,-5.28,47.9,28.1,38.0
2024-12-30 06:00:00,-2.85,2.65,2.47,0.80,0.80,16.2,14.8,15.5
2024-12-30 07:00:00,1.06,7.20,5.40,3.35,3.35,11.4,10.4,10.9
2024-12-30 08:00:00,0.00,0.00,0.00,0.00,18.04,0.0,0.0,0.0
2024-12-30 09:00:00,20.20,23.81,23.81,21.33,21.33,15.0,5.0,10.0
2024-12-30 10:00:00,11.00,21.60,12.50,11.12,11.12,10.0,0.2,5.1
2024-12-30 11:00:00,6.00,14.96,14.96,14.06,14.06,10.0,0.0,5.0
2024-12-30 12:00:00,13.61,19.69,19.69,16.70,16.70,10.0,0.0,5.0
2024-12-30 13:00:00,16.50,19.39,19.39,18.97,18.97,24.0,1.0,12.5
2024-12-30 14:00:00,18.30,20.33,20.30,19.26,20.33,5.2,2.4,3.8
2024-12-30 15:00:00,0.00,0.00,0.00,0.00,20.78,0.0,0.0,0.0
2024-12-30 16:00:00,13.48,13.53,13.53,13.51,22.98,3.0,0.0,1.5
2024-12-30 17:00:00,12.11,28.32,16.30,15.61,15.61,10.8,5.8,8.3
2024-12-30 18:00:00,10.00,10.00,10.00,10.00,20.46,4.0,0.0,2.0
2024-12-30 19:00:00,10.00,24.01,10.00,14.76,14.76,24.6,9.6,17.1
2024-12-30 20:00:00,10.00,17.27,10.00,12.36,12.36,13.4,10.5,12.0
2024-12-30 21:00:00,10.51,18.61,10.59,15.28,15.28,15.5,9.1,12.3
2024-12-30 22:00:00,15.24,18.95,15.24,16.66,16.66,10.0,5.8,7.9
