date,low,high,last,weighted_avg,id_full,id3,buy_volume,sell_volume,total_volume
2025-01-05 00:00:00,100.44,114.50,102.99,108.11,108.11,105.49,255.1,220.2,237.7
2025-01-05 01:00:00,90.91,100.89,97.47,94.66,94.66,92.99,190.3,161.2,175.8
2025-01-05 02:00:00,85.61,101.59,100.02,92.71,92.71,92.59,277.1,241.4,259.3
2025-01-05 03:00:00,84.12,108.68,99.65,94.29,94.29,95.40,313.5,271.3,292.4
2025-01-05 04:00:00,80.95,104.24,104.24,91.87,91.87,94.84,418.5,366.0,392.3
2025-01-05 05:00:00,78.80,107.93,107.93,89.99,89.99,95.64,322.4,300.9,311.7
2025-01-05 06:00:00,79.51,104.70,104.15,92.74,92.74,98.19,314.2,271.0,292.6
2025-01-05 07:00:00,81.01,100.20,97.39,94.36,94.36,97.55,266.9,160.3,213.6
2025-01-05 08:00:00,84.60,119.89,115.70,99.43,99.43,99.78,566.0,376.0,471.0
2025-01-05 09:00:00,93.21,150.00,118.00,121.07,121.07,127.82,478.7,305.4,392.1
2025-01-05 10:00:00,86.87,183.39,183.39,131.59,131.59,137.56,258.0,205.4,231.7
2025-01-05 11:00:00,100.25,157.88,134.98,143.10,143.10,146.08,230.0,126.9,178.5
2025-01-05 12:00:00,83.60,150.00,149.99,133.57,133.57,138.61,334.0,242.3,288.2
2025-01-05 13:00:00,76.51,124.70,102.45,105.37,105.37,112.68,691.2,371.8,531.5
2025-01-05 14:00:00,69.99,150.01,128.90,105.48,105.48,122.81,328.2,146.6,237.4
2025-01-05 15:00:00,51.92,149.99,125.01,107.84,107.84,129.04,256.1,148.0,202.1
2025-01-05 16:00:00,53.77,150.00,145.30,112.50,112.50,123.40,497.9,336.5,417.2
2025-01-05 17:00:00,66.18,123.34,84.44,96.35,96.35,98.59,504.6,285.5,395.1
2025-01-05 18:00:00,59.75,96.82,90.10,86.89,86.89,85.10,995.7,555.6,775.7
2025-01-05 19:00:00,50.96,98.49,93.12,84.24,84.24,84.29,784.8,433.1,609.0
2025-01-05 20:00:00,36.53,91.10,85.00,80.27,80.27,83.63,651.6,508.4,580.0
2025-01-05 21:00:00,47.72,115.17,100.05,86.65,86.65,102.12,296.5,295.6,296.1
2025-01-05 22:00:00,23.97,76.97,68.79,56.03,56.03,70.29,832.4,590.7,711.6
2025-01-05 23:00:00,30.02,149.00,69.76,70.92,70.92,82.03,363.0,308.7,335.9
2025-01-06 00:00:00,38.85,63.08,46.15,49.83,49.83,52.87,371.4,346.0,358.7
2025-01-06 01:00:00,28.89,42.45,38.65,34.33,34.33,33.73,356.7,279.8,318.3
2025-01-06 02:00:00,19.34,62.24,58.48,40.48,40.48,42.03,436.9,315.7,376.3
2025-01-06 03:00:00,20.62,50.39,37.72,36.91,36.91,40.14,503.4,417.6,460.5
2025-01-06 04:00:00,17.80,44.50,24.25,30.88,30.88,31.99,449.0,332.8,390.9
2025-01-06 05:00:00,18.34,48.00,35.99,32.55,32.55,29.56,475.1,378.4,426.8
2025-01-06 06:00:00,35.00,75.49,75.49,48.32,48.32,49.69,501.5,517.1,509.3
2025-01-06 07:00:00,34.08,55.10,42.89,43.88,43.88,45.99,238.5,188.1,213.3
2025-01-06 08:00:00,48.48,61.41,52.08,55.77,55.77,55.83,586.0,507.8,546.9
2025-01-06 09:00:00,36.13,59.20,46.68,45.34,45.34,43.46,460.6,348.7,404.7
2025-01-06 10:00:00,36.66,53.38,44.41,43.25,43.25,41.92,472.7,452.9,462.8
2025-01-06 11:00:00,31.98,53.00,41.99,39.53,39.53,36.77,410.4,378.1,394.3
2025-01-06 12:00:00,30.51,49.71,31.61,38.18,38.18,33.88,293.2,295.6,294.4
2025-01-06 13:00:00,31.00,48.00,33.05,37.21,37.21,34.28,225.5,252.6,239.1
2025-01-06 14:00:00,8.82,43.35,28.78,31.22,31.22,23.14,466.9,323.3,395.1
2025-01-06 15:00:00,13.96,43.55,29.59,32.35,32.35,28.25,252.2,304.8,278.5
2025-01-06 16:00:00,29.06,46.17,35.50,36.24,36.24,33.76,163.7,236.7,200.2
2025-01-06 17:00:00,31.05,50.48,43.92,42.03,42.03,41.64,231.3,274.3,252.8
2025-01-06 18:00:00,30.13,48.98,31.72,38.49,38.49,36.15,288.3,335.9,312.1
2025-01-06 19:00:00,29.15,44.05,32.05,34.86,34.86,35.62,108.0,175.4,141.7
